event_uid,venue_uid,"start_date","end_date"
14670298,15297319,"2012-06-08","2012-06-08"
14671739,12330565,"2013-02-24","2013-05-27"
14672698,16399049,"2009-02-05","2009-04-25"
14675759,14221280,"2014-02-07","2014-02-14"
14676164,8685805,"2014-05-03","2014-05-31"
14676537,14864515,"2013-08-29","2013-09-27"
14678682,2797286,"2011-12-09","2012-01-07"
14680349,1246353,"2019-04-01","2019-04-12"
14682871,8203443,"2019-04-13","2019-04-28"
14683882,59280,"2017-01-27","2017-07-30"
14689269,3708126,"2016-12-10","2017-01-07"
14690081,11000839,"2010-04-10","2010-05-05"
14690138,13952082,"2016-09-16","2016-10-15"
14690303,9576675,"2009-05-02","2009-05-31"
14691663,6022610,"2012-09-07","2012-10-28"
14694496,11058957,"2014-07-25","2014-07-25"
14695261,5231713,"2011-07-08","2011-09-02"
14695289,695791,"2016-03-05","2016-03-30"
14701540,2575785,"2012-11-19","2012-11-19"
14701993,12773559,"2010-11-12","2010-12-10"
14702729,12909288,"2017-08-05","2017-08-19"
14705937,6022610,"2019-05-10","2019-07-07"
14709874,15938756,"2008-06-19","2008-08-08"
14710286,15370206,"2017-04-07","2017-07-01"
14713616,15512352,"2015-01-30","2015-03-06"
14719785,12330565,"2018-04-20","2018-04-22"
14722077,11856697,"2015-03-13","2015-04-18"
14722246,5031284,"2011-04-30","2011-05-28"
14726205,1396764,"2010-05-06","2010-06-05"
14726744,7729187,"2012-05-19","2012-06-23"
14728478,6474523,"2013-05-17","2013-06-22"
14729535,13360379,"2019-06-20","2019-06-20"
14731457,4029071,"2014-10-18","2014-10-18"
14732201,13371986,"2009-10-10","2010-02-28"
14732210,13371986,"2019-04-16","2019-04-16"
14732878,10439642,"2016-02-12","2016-03-12"
14733203,3399400,"2016-10-25","2016-10-25"
14735343,14199188,"2016-03-11","2016-04-09"
14739338,12705346,"2015-11-13","2015-11-13"
14742743,2797286,"2009-10-23","2009-11-28"
14742950,12757578,"2008-11-15","2009-01-03"
14744983,14199188,"2017-03-09","2017-04-01"
14746924,6567283,"2018-03-24","2018-05-26"
14747428,3763254,"2015-09-18","2015-11-15"
14748722,10000716,"2016-01-09","2016-02-04"
14751847,14221280,"2012-03-09","2012-04-27"
14752830,7729187,"2017-05-20","2017-07-08"
14755739,10137684,"2015-02-06","2015-05-10"
14757012,11856697,"2018-02-09","2018-03-25"
14758877,15823095,"2011-11-17","2011-11-17"
14760024,4011713,"2012-04-27","2012-04-27"
14764025,6618085,"2013-08-22","2013-08-22"
14766218,3708126,"2011-06-18","2011-07-20"
14767363,512846,"2019-05-23","2019-08-03"
14769215,6567283,"2012-01-14","2012-02-25"
14769377,881985,"2016-05-25","2016-11-08"
14772812,4024092,"2015-01-15","2015-02-14"
14773286,5231713,"2019-06-14","2019-08-31"
14776902,1153402,"2011-11-14","2011-11-14"
14778953,1077923,"2014-02-15","2014-02-15"
14779105,476776,"2015-04-23","2015-05-19"
14779331,4599642,"2014-04-30","2014-04-30"
14779357,8692473,"2007-11-16","2007-12-29"
14782402,5231713,"2007-10-19","2007-11-10"
14784308,14221280,"2013-08-16","2013-09-20"
